Фото;Товар;Артикул;Производитель;Номер производителя;Раздел;Цена;Валюта;Источник цены;Дата парсинга;URL
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Hornillo de gas CAMPINGAZ Hornillo Camp´Bistro 3 de 1 quemadores y 2.2 kw de potencia recomendado para menos de 6 personas;83561862;Campingaz;de 1;Equipamiento de emergencia para el hogar;29.99;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/hornillo-de-gas-campingaz-hornillo-camp-bistro-3-de-1-quemadores-y-2-2-kw-de-potencia-recomendado-para-menos-de-6-personas-83561862.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Estación Energía GENERGY GZE0506 Con Salida 600W – Batería 512Wh - Carga Ultrarrápida - 4000 Ciclos Vida Útil;92767580;Genergy;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/estacion-energia-genergy-gze0506-con-salida-600w-bateria-512wh-carga-ultrarrapida-4000-ciclos-vida-util-92767580.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;4 pilas alcalinas lr06 aa lexman l2;85207712;Lexman;;Equipamiento de emergencia para el hogar;4.99;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/4-pilas-alcalinas-lr06-aa-lexman-l2-85207712.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Controlador de Carga/Descarga Solar iSCC-AU-XUNZEL-15A-12/24V USB;13842682;Controlador;;Equipamiento de emergencia para el hogar;44.95;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/controlador-de-carga-descarga-solar-iscc-au-xunzel-15a-12-24v-usb-13842682.html
https://media.adeo.com/media/3398976/media.png?width=300;1 pila alcalina LEXMAN LR54 V10GA;85207727;Lexman;V10GA;Equipamiento de emergencia para el hogar;2.29;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/1-pila-alcalina-lexman-lr54-v10ga-85207727.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar AGM U-POWER 12V 55Ah;82461748;UPOWER;;Equipamiento de emergencia para el hogar;93.99;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/bateria-solar-agm-u-power-12v-55ah-82461748.html
https://media.adeo.com/media/2974911/media.jpg?width=100;Armario rack para 3 baterías solares de litio;84751987;;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/armario-rack-para-3-baterias-solares-de-litio-84751987.html
https://media.adeo.com/media/1904332/media.png?width=300;Cartucho de gas BTP C200 Pro;81981518;Cartucho;C200;Equipamiento de emergencia para el hogar;1.96;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/cartucho-de-gas-btp-c200-pro-81981518.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Controlador Carga/Descarga Solar Compacto iSCC-LX-XUNZEL-40A-12/24V PROG Li+PB;14074004;Controlador;;Equipamiento de emergencia para el hogar;84.95;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/controlador-carga-descarga-solar-compacto-iscc-lx-xunzel-40a-12-24v-prog-li-pb-14074004.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Limitador sobretensiones permanentes/transitorias CHINT 40A;19466286;Chint;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/limitador-sobretensiones-permanentes-transitorias-chint-40a-19466286.html
https://media.adeo.com/media/3888359/media.png?width=100;Interruptor Magnetotérmico 125A 2P 1000V DC;89894159;;;Equipamiento de emergencia para el hogar;17.99;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/interruptor-magnetotermico-125a-2p-1000v-dc-89894159.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar de litio UPOWER UE5120I 48v 5,12kwh;93906958;UPOWER;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/bateria-solar-de-litio-upower-ue5120i-48v-5-12kwh-93906958.html
https://media.adeo.com/media/4486730/media.png?width=300;Combi iga+limitador sobretensiones permanentes LEXMAN 2p 40a;88918332;Tado;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/combi-iga-limitador-sobretensiones-permanentes-lexman-2p-40a-88918332.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Linterna LED LEXMAN 1200 lúmenes;96417724;Lexman;;Equipamiento de emergencia para el hogar;19.99;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/linterna-led-lexman-1200-lumenes-96417724.html
https://media.adeo.com/media/3923128/media.jpg?width=300;Cable de Interconexión de Baterías;89895448;;;Equipamiento de emergencia para el hogar;7.49;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/cable-de-interconexion-de-baterias-89895448.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;2 pilas alcalinas LEXMAN LR44 V13GA;85207753;Lexman;V13GA;Equipamiento de emergencia para el hogar;1.99;EUR;extension-list;06.09.2026, 18:16:22;https://www.leroymerlin.es/productos/2-pilas-alcalinas-lexman-lr44-v13ga-85207753.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar AGM U-POWER 12V 18Ah;82461744;U-Power;;Equipamiento de emergencia para el hogar;37.94;EUR;extension-list;06.09.2026, 18:16:22;https://www.leroymerlin.es/productos/bateria-solar-agm-u-power-12v-18ah-82461744.html
https://media.adeo.com/media/3888361/media.png?width=100;Interruptor Magnetotérmico 16A 2P 1000V DC;89894154;Interruptor;;Equipamiento de emergencia para el hogar;14.49;EUR;extension-list;06.09.2026, 18:16:22;https://www.leroymerlin.es/productos/interruptor-magnetotermico-16a-2p-1000v-dc-89894154.html
https://media.adeo.com/media/3427153/media.jpg?width=100;Pack 4 velas cilíndricas marfil;87084157;;;Equipamiento de emergencia para el hogar;2.99;EUR;extension-list;06.09.2026, 18:16:22;https://www.leroymerlin.es/productos/pack-4-velas-cilindricas-marfil-87084157.html
https://media.adeo.com/mkp/004cd6134179c6a95c676412b91d54df/media.jpg?width=100;Botiquín de 3 estantes de acero inoxidable con cerradura de 30x12x45 cm CasaSelección;86414480;OX;;Equipamiento de emergencia para el hogar;23.99;EUR;extension-list;06.09.2026, 18:16:22;https://www.leroymerlin.es/productos/botiquin-de-3-estantes-de-acero-inoxidable-con-cerradura-de-30x12x45-cm-casaseleccion-86414480.html
https://media.adeo.com/media/2883591/media.jpg?width=300;Linterna LED LEXMAN Imán 160 lm;81927416;Lexman;;Equipamiento de emergencia para el hogar;5.99;EUR;extension-list;06.09.2026, 18:16:22;https://www.leroymerlin.es/productos/linterna-led-lexman-iman-160-lm-81927416.html
